Channel,uploads,subs,video views
Inooro TV ,51448,636K,209917350
DAUGLAS_FYP ,1700,2.07M,212834836
TT Comedian ,249,1.05M,213799791
Tuko / Tuco - Kenya ,1791,1.04M,222135788
Africa Stories ,786,521K,236533095
Msanii Records ,804,686K,244457764
Ebru TV Kenya ,18648,892K,247180283
Willy Paul Thee Pozze ,229,1.19M,253045416
Bahati Kenya ,302,1.34M,261517690
AFRICAN MECHANICS ,1443,305K,267826924
CGTN Africa ,55614,871K,271537878
Astaan ,3237,1.36M,280473925
RICHY HANIEL ,2214,1.36M,288808216
Balanbaalis Studio ,1262,960K,295202971
Kenya Digital News ,42521,877K,326192934
Sauti Sol ,258,1.1M,329606797
Maasai Sightings ,648,648K,332836775
RDHDComps ,59,1.36M,345119119
Africha Entertainment ,11601,2.08M,359094887
Otile Brown Official ,105,1.47M,392336361
Urban Street +254 ,188,857K,449555681
CGTN Africa ,55614,871K,271537878
Kenya Digital News ,42521,877K,326192934
Ebru TV Kenya ,18648,892K,247180283
HackerSploit ,467,917K,40349444
Lynn Ngugi ,396,928K,122932352
Balanbaalis Studio ,1262,960K,295202971
Africha Movies ,1048,985K,191592892
HeroSmashers ,12,1.01M,423176939
Coke Studio Africa ,1391,1.01M,434679255
Tuko / Tuco - Kenya ,1791,1.04M,222135788
TT Comedian ,249,1.05M,213799791
DIANA BAHATI ,743,1.05M,198987930
C.M.J32 ,18,1.07M,449179943
nasri7 ,83,1.08M,56738734
Sauti Sol ,258,1.1M,329606797
Nation ,72782,1.16M,533272057
Willy Paul Thee Pozze ,229,1.19M,253045416
Simulizi Na Sauti ,29750,1.32M,414203271
Bahati Kenya ,302,1.34M,261517690
WORLD LEGEND ,1475,10.3K,8798883
Reformed Wretch ,72,64.1K,6704035
Beylee may vlogs ,120,29.8K,7549842
Simulizi Na Sauti ,29750,1.32M,414203271
Guardian Angel Global ,557,645K,142142504
Fecha Sharon ,163,757K,93427313
TRENDz WAVE ,46,82.6K,19081097
Lyric Sektion ,280,52.8K,35043698
Tarquins ,674,81.7K,24764826
Obinna TV ,1104,408K,56196085
JJmix ,50,81.7K,32935293
Love In Action ,1768,301K,439472973
KADUSKO Tv ,584,434K,167963288
Balindiway Media ,16947,232K,63799607
Eagle Eye Guy ,46,91.8K,100286116
KTN News Kenya ,143904,2.77M,764724030
NTV Kenya ,92027,2.42M,990793916
Edith Sophie,42,172K,94615121
Apostle Rev Martin Gospel Tv,3558,44.6K,10242913
GBANTU BOI ,1555,283K,104672213
Sharma Boy ,146,1.77M,401436441
Simulizi Na Sauti,29750,1.32M,414203271
HeroSmashers ,12,1.01M,423176939
Urban Street +254 ,188,857K,449555681
Coke Studio Africa ,1391,1.01M,434679255
 Love In Action ,1768,301K,439472973
 C.M.J32 ,18,1.07M,449179943
 Safaricom PLC ,4312,120K,457523394
 Nation ,72782,1.16M,533272057
 Churchill Television ,5149,2.32M,720213450
 KTN News Kenya ,143904,2.77M,764724030
 Jim Nduruchi RUS ,3381,481K,823361576
 NTV Kenya ,92027,2.42M,990793916
 Citizen TV Kenya ,171453,4.8M,1941969429
 Alvins Audi ,1920,2.32M,3310921834
RICHY HANIEL,2214,1.36M,288808216
RDHDComps ,59,1.36M,345119119
Astaan,3237,1.36M,280473925
K24TV ,1059,1.36M,3933691
Otile Brown Official ,105,1.47M,392336361
 SUPER TAMUTAMU ,1253,1.69M,122611661
 Sharma Boy ,146,1.77M,401436441
 DAUGLAS_FYP ,1700,2.07M,212834836
 Africha Entertainment ,11601,2.08M,359094887
 Alvins Audi ,1920,2.32M,3310921834
 Churchill Television ,5149,2.32M,720213450
 NTV Kenya ,92027,2.42M,990793916
 KTN News Kenya ,143904,2.77M,764724030
 TechFreeze ,217,2.82M,129646571
 Citizen TV Kenya ,171453,4.8M,1941969429
Astaan ,3237,1.36M,280473925
Kenya Digital News,42521,877K,326192934
The Humble Reminder114 ,279,79.2K,25842648
Football Till I Die ,740,784K,97575567
TechFreeze,217,2.82M,129646571
 Sheila ,243,83.8K,19986731
 Sharma Boy ,146,1.77M,401436441
 AFRICAN MECHANICS ,1443,305K,267826924
 DAUGLAS_FYP ,1700,2.07M,212834836
 Victor Tech ,11,344K,193379951
 Backbench Animations ,99,195K,40359550
 Citizen TV Kenya ,171453,4.8M,1941969429
 Africa Stories ,786,521K,236533095
 Alvins Audi ,1920,2.32M,3310921834
 Urban Street +254 ,188,857K,449555681
